cdate,cp,pctlead,pctlag1,pctlag2,pctlag4,pctlag8,upf,lowf
1987-01-02,246.450,2.329,1.767,1.266,-0.190,-1.313,1.008,1.022
1987-01-05,252.190,0.234,2.329,4.138,3.074,1.383,1.002,1.056
1987-01-06,252.780,1.009,0.234,2.568,3.867,2.614,1.013,1.059
1987-01-07,255.330,0.764,1.009,1.245,5.434,3.477,1.016,1.063
1987-01-08,257.280,0.564,0.764,1.780,4.394,4.196,1.011,1.048
1987-01-09,258.730,0.607,0.564,1.332,2.593,5.747,1.006,1.034
1987-01-12,260.300,-0.134,0.607,1.174,2.975,6.956,1.007,1.034
1987-01-13,259.950,1.035,-0.134,0.472,1.809,7.342,1.008,1.021
1987-01-14,262.640,1.085,1.035,0.899,2.083,6.569,1.003,1.025
1987-01-15,265.490,0.298,1.085,2.131,2.613,5.274,1.003,1.035
1987-01-16,266.280,1.149,0.298,1.386,2.297,5.341,1.007,1.033
1987-01-19,269.340,-0.111,1.149,1.450,3.612,5.487,1.007,1.043
1987-01-20,269.040,-0.446,-0.111,1.037,2.437,4.571,1.009,1.028
1987-01-21,267.840,2.266,-0.446,-0.557,0.885,3.521,1.010,1.012
1987-01-22,273.910,-1.391,2.266,1.810,2.865,5.229,1.002,1.037
1987-01-23,270.100,-0.181,-1.391,0.844,0.282,3.905,1.015,1.016
1987-01-26,269.610,1.536,-0.181,-1.570,0.212,2.654,1.017,1.014
1987-01-27,273.750,0.603,1.536,1.351,2.207,3.111,1.008,1.028
1987-01-28,275.400,-0.421,0.603,2.148,0.544,3.425,1.006,1.028
1987-01-29,274.240,-0.058,-0.421,0.179,1.533,1.819,1.011,1.023
1987-01-30,274.080,0.865,-0.058,-0.479,1.658,1.873,1.012,1.017
1987-02-02,276.450,-0.166,0.865,0.806,0.986,3.215,1.001,1.013
1987-02-03,275.990,1.323,-0.166,0.697,0.214,0.759,1.004,1.010
1987-02-04,279.640,0.544,1.323,1.154,1.969,3.532,1.002,1.028
1987-02-05,281.160,-0.398,0.544,1.873,2.583,4.284,1.005,1.032
1987-02-06,280.040,-0.671,-0.398,0.143,1.299,2.298,1.010,1.020
1987-02-09,278.160,-1.111,-0.671,-1.067,0.786,1.002,1.016,1.010
1987-02-10,275.070,0.898,-1.111,-1.775,-1.634,0.303,1.029,1.002
1987-02-11,277.540,-0.692,0.898,-0.223,-1.288,1.262,1.018,1.012
1987-02-12,275.620,1.480,-0.692,0.200,-1.578,-0.300,1.019,1.007
1987-02-13,279.700,2.070,1.480,0.778,0.554,1.344,1.003,1.021
1987-02-17,285.490,-0.025,2.070,3.581,3.788,2.092,1.003,1.053
1987-02-18,285.420,0.053,-0.025,2.045,2.839,1.515,1.012,1.047
1987-02-19,285.570,-0.032,0.053,0.028,3.610,1.975,1.017,1.041
1987-02-20,285.480,-1.086,-0.032,0.021,2.066,2.632,1.012,1.021
1987-02-23,282.380,0.177,-1.086,-1.117,-1.089,2.658,1.018,1.000
1987-02-24,282.880,0.396,0.177,-0.911,-0.890,1.924,1.015,1.005
1987-02-25,284.000,-0.366,0.396,0.574,-0.550,3.040,1.009,1.009
1987-02-26,282.960,0.438,-0.366,0.028,-0.883,1.166,1.010,1.006
1987-02-27,284.200,-0.422,0.438,0.070,0.645,-0.452,1.002,1.008
1987-03-02,283.000,0.396,-0.422,0.014,0.042,-0.848,1.005,1.003
1987-03-03,284.120,1.584,0.396,-0.028,0.042,-0.508,1.002,1.006
1987-03-04,288.620,0.658,1.584,1.986,2.000,1.100,1.000,1.029
1987-03-05,290.520,0.048,0.658,2.253,2.224,2.883,1.005,1.037
1987-03-06,290.660,-0.812,0.048,0.707,2.707,2.750,1.011,1.035
1987-03-09,288.300,0.888,-0.812,-0.764,1.471,1.514,1.017,1.016
1987-03-10,290.860,-0.189,0.888,0.069,0.776,2.792,1.004,1.011
1987-03-11,290.310,0.313,-0.189,0.697,-0.072,2.150,1.006,1.007
1987-03-12,291.220,-0.457,0.313,0.124,0.193,2.905,1.004,1.010
1987-03-13,289.890,-0.573,-0.457,-0.145,0.552,2.031,1.008,1.006
1987-03-16,288.230,1.471,-0.573,-1.027,-0.904,-0.135,1.014,1.001
1987-03-17,292.470,0.106,1.471,0.890,0.744,0.671,1.003,1.017
1987-03-18,292.780,0.444,0.106,1.579,0.536,0.729,1.005,1.018
1987-03-19,294.080,1.391,0.444,0.550,1.445,2.005,1.006,1.024
1987-03-20,298.170,1.003,1.391,1.841,3.449,2.513,1.005,1.040
1987-03-23,301.160,0.159,1.003,2.408,2.971,3.737,1.004,1.042
1987-03-24,301.640,-0.418,0.159,1.164,3.026,3.578,1.010,1.039
1987-03-25,300.380,0.183,-0.418,-0.259,2.142,3.619,1.014,1.023
1987-03-26,300.930,-1.595,0.183,-0.235,0.926,4.406,1.006,1.010
1987-03-27,296.130,-2.340,-1.595,-1.415,-1.670,1.251,1.027,1.000
1987-03-30,289.200,0.864,-2.340,-3.898,-4.124,-1.223,1.061,1.003
1987-03-31,291.700,0.233,0.864,-1.496,-2.890,-0.809,1.045,1.019
1987-04-01,292.380,0.428,0.233,1.100,-2.841,-1.942,1.034,1.023
1987-04-02,293.630,2.309,0.428,0.662,-0.844,-2.500,1.012,1.019
1987-04-03,300.410,0.513,2.309,2.746,3.876,-0.408,1.002,1.051
1987-04-06,301.950,-1.742,0.513,2.834,3.514,0.523,1.009,1.051
1987-04-07,296.690,0.192,-1.742,-1.238,1.474,-1.409,1.026,1.025
1987-04-08,297.260,-1.480,0.192,-1.553,1.236,0.382,1.022,1.018
1987-04-09,292.860,-0.126,-1.480,-1.291,-2.513,1.266,1.039,1.005
1987-04-10,292.490,-2.349,-0.126,-1.605,-3.133,0.271,1.036,1.011
1987-04-13,285.620,-2.262,-2.349,-2.472,-3.731,-2.312,1.055,1.003
1987-04-14,279.160,1.891,-2.262,-4.557,-6.089,-4.928,1.083,1.009
1987-04-15,284.440,0.868,1.891,-0.413,-2.875,-5.316,1.045,1.029
1987-04-16,286.910,-0.286,0.868,2.776,-1.908,-4.981,1.026,1.035
1987-04-20,286.090,2.440,-0.286,0.580,0.165,-3.573,1.014,1.026
1987-04-21,293.070,-2.006,2.440,2.147,4.983,-1.410,1.006,1.058
1987-04-22,287.190,-0.129,-2.006,0.384,0.967,-1.936,1.022,1.020
1987-04-23,286.820,-1.848,-0.129,-2.133,-0.031,-1.939,1.022,1.014
1987-04-24,281.520,0.110,-1.848,-1.974,-1.597,-1.435,1.045,1.007
1987-04-27,281.830,0.241,0.110,-1.740,-3.835,0.956,1.045,1.015
1987-04-28,282.510,0.729,0.241,0.352,-1.630,-0.679,1.023,1.013
1987-04-29,284.570,1.332,0.729,0.972,-0.784,-0.816,1.010,1.018
1987-04-30,288.360,-0.114,1.332,2.071,2.430,0.793,1.002,1.035
1987-05-01,288.030,0.462,-0.114,1.216,2.200,-1.720,1.009,1.030
1987-05-04,289.360,2.067,0.462,0.347,2.425,0.756,1.008,1.028
1987-05-05,295.340,0.044,2.067,2.538,3.785,2.971,1.003,1.047
1987-05-06,295.470,-0.257,0.044,2.112,2.466,4.955,1.009,1.038
1987-05-07,294.710,-0.455,-0.257,-0.213,2.319,4.570,1.015,1.030
1987-05-08,293.370,-0.614,-0.455,-0.711,1.386,3.844,1.016,1.015
1987-05-11,291.570,0.593,-0.614,-1.065,-1.276,2.460,1.019,1.001
1987-05-12,293.300,0.232,0.593,-0.024,-0.734,1.713,1.010,1.008
1987-05-13,293.980,0.088,0.232,0.827,-0.248,2.066,1.005,1.009
1987-05-14,294.240,-2.314,0.088,0.320,0.297,1.686,1.003,1.010
1987-05-15,287.430,-0.271,-2.314,-2.228,-1.420,-2.678,1.034,1.001
1987-05-18,286.650,-2.452,-0.271,-2.580,-2.267,-2.985,1.039,1.008
1987-05-19,279.620,-0.504,-2.452,-2.717,-4.885,-5.120,1.070,1.007
1987-05-20,278.210,0.705,-0.504,-2.944,-5.448,-5.168,1.067,1.017
1987-05-21,280.170,0.710,0.705,0.197,-2.526,-3.910,1.035,1.020
1987-05-22,282.160,2.463,0.710,1.420,-1.566,-3.798,1.018,1.024
1987-05-26,289.110,-0.131,2.463,3.191,3.394,-1.657,1.001,1.055
1987-05-27,288.730,0.703,-0.131,2.328,3.781,-1.873,1.013,1.051
1987-05-28,290.760,-0.227,0.703,0.571,3.780,1.159,1.013,1.047
1987-05-29,290.100,-0.093,-0.227,0.474,2.814,1.204,1.015,1.029
1987-06-01,289.830,-0.473,-0.093,-0.320,0.249,3.651,1.005,1.005
1987-06-02,288.460,1.737,-0.473,-0.565,-0.094,3.684,1.010,1.002
1987-06-03,293.470,0.552,1.737,1.256,0.932,4.747,1.001,1.022
1987-06-04,295.090,-0.556,0.552,2.298,1.720,4.583,1.004,1.030
1987-06-05,293.450,1.114,-0.556,-0.007,1.249,1.501,1.012,1.022
1987-06-08,296.720,0.189,1.114,0.552,2.863,2.767,1.008,1.031
1987-06-09,297.280,0.064,0.189,1.305,1.298,2.242,1.004,1.018
1987-06-10,297.470,0.424,0.064,0.253,0.807,2.541,1.005,1.015
1987-06-11,298.730,0.967,0.424,0.488,1.799,3.071,1.005,1.019
1987-06-12,301.620,0.504,0.967,1.395,1.651,4.562,1.001,1.023
1987-06-15,303.140,0.534,0.504,1.476,1.971,3.295,1.004,1.028
1987-06-16,304.760,0.016,0.534,1.041,2.451,3.277,1.006,1.031
1987-06-17,304.810,0.289,0.016,0.551,2.035,3.871,1.008,1.023
1987-06-18,305.690,0.419,0.289,0.305,1.349,3.023,1.004,1.015
1987-06-19,306.970,0.873,0.419,0.709,1.263,3.260,1.002,1.015
1987-06-22,309.650,-0.394,0.873,1.295,1.605,4.095,1.001,1.023
1987-06-23,308.430,-0.509,-0.394,0.476,1.188,3.247,1.007,1.016
1987-06-24,306.860,0.684,-0.509,-0.901,0.383,1.737,1.011,1.007
1987-06-25,308.960,-0.583,0.684,0.172,0.648,1.920,1.005,1.010
1987-06-26,307.160,0.241,-0.583,0.098,-0.804,0.788,1.010,1.003
1987-06-29,307.900,-1.267,0.241,-0.343,-0.172,1.014,1.005,1.005
1987-06-30,304.000,-0.349,-1.267,-1.029,-0.932,-0.553,1.021,1.001
1987-07-01,302.940,0.888,-0.349,-1.611,-1.948,-1.313,1.026,1.005
1987-07-02,305.630,-0.232,0.888,0.536,-0.498,-1.298,1.012,1.013
1987-07-06,304.920,0.813,-0.232,0.654,-0.968,-1.138,1.012,1.011
1987-07-07,307.400,0.290,0.813,0.579,1.118,0.176,1.002,1.018
1987-07-08,308.290,-0.250,0.290,1.105,1.766,-0.217,1.004,1.021
1987-07-09,307.520,0.276,-0.250,0.039,0.618,0.117,1.006,1.011
1987-07-10,308.370,-0.240,0.276,0.026,1.131,0.153,1.005,1.012
1987-07-13,307.630,0.991,-0.240,0.036,0.075,1.194,1.003,1.002
1987-07-14,310.680,-0.084,0.991,0.749,0.775,2.555,1.000,1.015
1987-07-15,310.420,0.734,-0.084,0.907,0.943,1.567,1.004,1.014
1987-07-16,312.700,0.604,0.734,0.650,1.404,2.551,1.003,1.021
1987-07-17,314.590,-1.017,0.604,1.343,2.262,2.339,1.004,1.026
1987-07-20,311.390,-0.912,-1.017,-0.419,0.229,1.006,1.012,1.008
1987-07-21,308.550,-0.026,-0.912,-1.920,-0.602,0.335,1.023,1.004
1987-07-22,308.470,-0.214,-0.026,-0.938,-1.353,0.032,1.024,1.007
1987-07-23,307.810,0.474,-0.214,-0.240,-2.155,0.059,1.024,1.009
1987-07-24,309.270,0.446,0.474,0.259,-0.681,-0.454,1.007,1.009
1987-07-27,310.650,0.541,0.446,0.923,0.681,0.074,1.001,1.012
1987-07-28,312.330,1.063,0.541,0.989,1.251,-0.118,1.002,1.019
1987-07-29,315.650,0.760,1.063,1.610,2.547,0.337,1.003,1.032
1987-07-30,318.050,0.192,0.760,1.831,2.839,2.139,1.005,1.037
1987-07-31,318.660,-0.342,0.192,0.954,2.578,3.277,1.008,1.032
1987-08-03,317.570,-0.422,-0.342,-0.151,1.678,2.950,1.011,1.018
1987-08-04,316.230,0.702,-0.422,-0.763,0.184,2.735,1.010,1.004
1987-08-05,318.450,1.143,0.702,0.277,0.126,2.968,1.003,1.008
1987-08-06,322.090,0.283,1.143,1.853,1.076,3.683,1.001,1.023
1987-08-07,323.000,1.548,0.283,1.429,1.710,3.416,1.005,1.028
1987-08-10,328.000,1.625,1.548,1.835,3.722,3.913,1.005,1.046
1987-08-11,333.330,-0.282,1.625,3.198,4.673,4.804,1.006,1.059
1987-08-12,332.390,0.680,-0.282,1.338,3.198,4.309,1.014,1.044
1987-08-13,334.650,-0.197,0.680,0.396,3.607,5.378,1.012,1.040
1987-08-14,333.990,0.036,-0.197,0.481,1.826,5.616,1.010,1.019
1987-08-17,334.110,-1.455,0.036,-0.161,0.234,4.918,1.003,1.006
1987-08-18,329.250,0.176,-1.455,-1.419,-0.945,2.223,1.023,1.001
1987-08-19,329.830,1.519,0.176,-1.281,-1.440,2.115,1.022,1.006
1987-08-20,334.840,0.317,1.519,1.698,0.255,2.085,1.007,1.022
1987-08-21,335.900,-0.765,0.317,1.840,0.536,0.771,1.007,1.026
1987-08-24,333.330,1.032,-0.765,-0.451,1.239,0.283,1.014,1.018
1987-08-25,336.770,-0.653,1.032,0.259,2.104,0.633,1.007,1.023
1987-08-26,334.570,-0.953,-0.653,0.372,-0.081,0.174,1.009,1.006
1987-08-27,331.380,-1.310,-0.953,-1.600,-1.346,-0.817,1.021,1.002
1987-08-28,327.040,0.844,-1.310,-2.251,-1.887,-0.671,1.037,1.003
1987-08-31,329.800,-1.941,0.844,-0.477,-2.070,-0.009,1.027,1.015
1987-09-01,323.400,-0.532,-1.941,-1.113,-3.339,-3.417,1.042,1.005
1987-09-02,321.680,-0.457,-0.532,-2.462,-2.927,-4.233,1.038,1.007
1987-09-03,320.210,-1.096,-0.457,-0.986,-2.088,-3.936,1.035,1.009
1987-09-04,316.700,-0.991,-1.096,-1.548,-3.972,-5.960,1.045,1.010
1987-09-08,313.560,0.115,-0.991,-2.077,-3.043,-6.280,1.040,1.005
1987-09-09,313.920,1.023,0.115,-0.878,-2.412,-5.269,1.031,1.010
1987-09-10,317.130,1.529,1.023,1.139,-0.962,-3.030,1.013,1.018
1987-09-11,321.980,0.342,1.529,2.568,1.667,-2.371,1.002,1.037
1987-09-14,323.080,-1.653,0.342,1.876,3.036,-0.099,1.009,1.042
1987-09-15,317.740,-0.906,-1.653,-1.317,1.217,-1.225,1.024,1.018
1987-09-16,314.860,0.022,-0.906,-2.544,-0.716,-1.671,1.033,1.007
1987-09-17,314.930,-0.022,0.022,-0.884,-2.190,-0.559,1.033,1.011
1987-09-18,314.860,-1.372,-0.022,0.000,-2.544,0.415,1.027,1.013
1987-09-21,310.540,2.885,-1.372,-1.394,-2.266,-1.077,1.028,1.002
1987-09-22,319.500,0.529,2.885,1.474,1.474,0.747,1.003,1.033
1987-09-23,321.190,-0.458,0.529,3.430,1.988,-0.245,1.008,1.041
1987-09-24,319.720,0.138,-0.458,0.069,1.544,-1.040,1.017,1.034
1987-09-25,320.160,0.950,0.138,-0.321,3.098,0.762,1.018,1.031
1987-09-28,323.200,-0.467,0.950,1.088,1.158,2.649,1.001,1.016
1987-09-29,321.690,0.044,-0.467,0.478,0.156,2.147,1.006,1.009
1987-09-30,321.830,1.709,0.044,-0.424,0.660,2.214,1.006,1.009
1987-10-01,327.330,0.226,1.709,1.753,2.239,5.407,1.001,1.029
1987-10-02,328.070,0.003,0.226,1.939,1.507,2.682,1.006,1.029
1987-10-05,328.080,-2.701,0.003,0.229,1.986,2.145,1.010,1.027
1987-10-06,319.220,-0.213,-2.701,-2.698,-0.811,-0.156,1.041,1.005
1987-10-07,318.540,-1.375,-0.213,-2.908,-2.685,-0.506,1.046,1.010
1987-10-08,314.160,-0.984,-1.375,-1.585,-4.240,-2.797,1.059,1.012
1987-10-09,311.070,-0.540,-0.984,-2.345,-5.185,-3.301,1.060,1.014
1987-10-12,309.390,1.658,-0.540,-1.518,-3.079,-3.865,1.042,1.009
1987-10-13,314.520,-2.954,1.658,1.109,-1.262,-3.913,1.017,1.024
1987-10-14,305.230,-2.343,-2.954,-1.345,-2.842,-6.962,1.041,1.004
1987-10-15,298.080,-5.160,-2.343,-5.227,-4.176,-9.144,1.070,1.006
1987-10-16,282.700,-20.467,-5.160,-7.381,-8.627,-11.440,1.146,1.010
1987-10-19,224.840,5.333,-20.467,-24.571,-28.513,-29.415,1.551,1.016
1987-10-20,236.830,9.099,5.333,-16.226,-22.409,-24.615,1.414,1.160
1987-10-21,258.380,-3.921,9.099,14.917,-13.319,-16.938,1.219,1.258
1987-10-22,248.250,-0.012,-3.921,4.822,-12.186,-19.761,1.167,1.178
1987-10-23,248.220,-8.279,-0.012,-3.932,10.399,-21.080,1.073,1.126
1987-10-26,227.670,2.425,-8.279,-8.290,-3.868,-25.410,1.164,1.022
1987-10-27,233.190,0.039,2.425,-6.055,-9.749,-21.769,1.138,1.056
1987-10-28,233.280,4.925,0.039,2.464,-6.030,-17.481,1.094,1.055
1987-10-29,244.770,2.868,4.925,4.966,-1.390,8.864,1.033,1.103
1987-10-30,251.790,1.573,2.868,7.935,10.594,6.317,1.016,1.142
1987-11-02,255.750,-1.928,1.573,4.486,9.675,-1.018,1.026,1.136
1987-11-03,250.820,-0.742,-1.928,-0.385,7.519,1.035,1.048,1.083
1987-11-04,248.960,2.217,-0.742,-2.655,1.712,0.298,1.035,1.024
1987-11-05,254.480,-1.599,2.217,1.459,1.068,11.776,1.011,1.028
1987-11-06,250.410,-2.891,-1.599,0.582,-2.088,7.385,1.027,1.014
1987-11-09,243.170,-1.715,-2.891,-4.444,-3.050,4.240,1.057,1.004
1987-11-10,239.000,1.213,-1.715,-4.557,-4.001,-2.357,1.080,1.012
1987-11-11,241.900,2.737,1.213,-0.522,-4.943,-3.928,1.064,1.032
1987-11-12,248.520,-1.159,2.737,3.983,-0.755,-2.827,1.018,1.053
1987-11-13,245.640,0.456,-1.159,1.546,1.016,-2.065,1.018,1.036
1987-11-16,246.760,-1.508,0.456,-0.708,3.247,-0.884,1.018,1.039
1987-11-17,243.040,1.033,-1.508,-1.058,0.471,-4.495,1.029,1.011
1987-11-18,245.550,-2.240,1.033,-0.490,-1.195,-1.941,1.016,1.013
